2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/runtime/sessions/839c8d19-ee22-48b7-9a71-bb6b2a290381 "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 400 Bad Request"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/uploads "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/runs "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/sessions "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/runtime/uploads "HTTP/1.1 400 Bad Request"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/auth/token "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/plugin "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/skill "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/cron "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/insights "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/update/status "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/agent "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/conversation "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/message/conversation/7bd287b9-2a5f-4a7a-8eee-532104fd0e4b "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/message/chat "HTTP/1.1 200 OK"
2026-05-03 11:24:42 | INFO     | httpx:1025 | HTTP Request: GET http://testserver/api/message/conversation/7bd287b9-2a5f-4a7a-8eee-532104fd0e4b/poll "HTTP/1.1 200 OK"
2026-05-03 11:24:53 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/v1/chat "HTTP/1.1 405 Method Not Allowed"
2026-05-03 11:24:53 | INFO     | httpx:1025 | HTTP Request: POST http://testserver/api/v1/chat/stream "HTTP/1.1 405 Method Not Allowed"
